size,nb,ib,threads,GFlops
4096,224,200,4,79.1172
4096,224,208,4,82.7151
4096,224,216,4,81.6255
4096,232,8,4,82.4982
4096,232,16,4,100.3024
4096,232,24,4,105.8688
4096,232,32,4,112.0171
4096,232,40,4,113.3519
4096,232,48,4,109.5642
4096,232,56,4,107.1526
4096,232,64,4,100.4469
4096,232,72,4,100.9011
4096,232,80,4,82.7943
4096,232,88,4,93.4283
4096,232,96,4,86.0116
4096,232,104,4,95.7063
4096,232,112,4,77.5572
4096,232,120,4,96.4711
4096,232,128,4,81.7483
4096,232,136,4,94.1204
4096,232,144,4,93.1829
4096,232,152,4,80.8681
4096,232,160,4,88.4133
4096,232,168,4,87.1404
4096,232,176,4,80.7179
4096,232,184,4,88.2994
4096,232,192,4,86.8363
4096,232,200,4,87.9042
4096,232,208,4,84.1336
4096,232,216,4,84.9524
4096,232,224,4,81.3586
4096,240,8,4,84.6997
4096,240,16,4,102.4484
4096,240,24,4,103.6063
4096,240,32,4,110.7556
4096,240,40,4,114.8917
4096,240,48,4,108.3436
4096,240,56,4,102.6658
4096,240,64,4,101.8642
4096,240,72,4,91.0352
4096,240,80,4,100.0023
4096,240,88,4,79.7465
4096,240,96,4,95.6362
4096,240,104,4,95.4816
4096,240,112,4,83.3042
4096,240,120,4,90.8456
4096,240,128,4,91.8491
4096,240,136,4,92.4946
4096,240,144,4,77.2473
4096,240,152,4,90.4549
4096,240,160,4,92.1742
4096,240,168,4,87.4377
4096,240,176,4,85.95
4096,240,184,4,84.783
4096,240,192,4,88.6359
4096,240,200,4,83.1987
4096,240,208,4,83.8976
4096,240,216,4,83.3981
4096,240,224,4,76.8007
4096,240,232,4,76.8075
4096,248,8,4,82.0465
4096,248,16,4,104.7704
4096,248,24,4,105.8572
4096,248,32,4,111.6258
4096,248,40,4,110.6292
4096,248,48,4,107.4929
4096,248,56,4,97.9118
4096,248,64,4,84.4911
4096,248,72,4,89.4547
4096,248,80,4,96.896
4096,248,88,4,83.4313
4096,248,96,4,93.3528
4096,248,104,4,86.4663
4096,248,112,4,81.892
4096,248,120,4,83.2809
4096,248,128,4,90.8295
4096,248,136,4,91.7935
4096,248,144,4,88.9012
4096,248,152,4,89.2925
4096,248,160,4,88.0364
4096,248,168,4,90.7413
4096,248,176,4,88.3322
4096,248,184,4,88.3508
4096,248,192,4,92.7583
4096,248,200,4,86.9307
4096,248,208,4,88.1242
4096,248,216,4,84.843
4096,248,224,4,84.3067
4096,248,232,4,77.0811
4096,248,240,4,72.327
4096,256,8,4,84.7905
4096,256,16,4,100.4199
4096,256,24,4,114.3719
4096,256,32,4,108.1117
4096,256,40,4,108.6829
4096,256,48,4,112.0472
4096,256,56,4,99.6907
4096,256,64,4,79.5299
4096,256,72,4,84.3438
4096,256,80,4,93.3802
4096,256,88,4,82.3587
4096,256,96,4,97.9362
4096,256,104,4,94.6079
4096,256,112,4,89.5106
4096,256,120,4,92.5643
4096,256,128,4,92.3817
4096,256,136,4,92.4303
4096,256,144,4,92.9082
4096,256,152,4,89.0291
4096,256,160,4,75.7424
4096,256,168,4,84.3848
4096,256,176,4,86.3294
4096,256,184,4,85.757
4096,256,192,4,89.5678
4096,256,200,4,89.2003
4096,256,208,4,84.3713
4096,256,216,4,85.3284
4096,256,224,4,81.7592
4096,256,232,4,82.9406
4096,256,240,4,81.2736
4096,256,248,4,76.3325
4096,264,8,4,82.7579
4096,264,16,4,103.8192
4096,264,24,4,105.9821
4096,264,32,4,110.5912
4096,264,40,4,111.5907
4096,264,48,4,108.1623
4096,264,56,4,108.1761
4096,264,64,4,104.2325
4096,264,72,4,105.2932
4096,264,80,4,107.0094
4096,264,88,4,103.9929
4096,264,96,4,99.3423
4096,264,104,4,92.7654
4096,264,112,4,89.1725
4096,264,120,4,86.5508
4096,264,128,4,93.876
4096,264,136,4,92.9649
