size,nb,ib,threads,GFlops
8192,288,104,8,88.1896
8192,288,112,8,85.1977
8192,288,120,8,87.3326
8192,288,128,8,88.2113
8192,288,136,8,87.3875
8192,288,144,8,87.7034
8192,288,152,8,90.5845
8192,288,160,8,89.4706
8192,288,168,8,90.3691
8192,288,176,8,86.438
8192,288,184,8,90.725
8192,288,192,8,89.8007
8192,288,200,8,87.8441
8192,288,208,8,87.0717
8192,288,216,8,84.4898
8192,288,224,8,82.6602
8192,288,232,8,82.0047
8192,288,240,8,80.2403
8192,288,248,8,79.1731
8192,288,256,8,78.6553
8192,288,264,8,79.7308
8192,288,272,8,78.2486
8192,288,280,8,76.4408
8192,296,8,8,87.1537
8192,296,16,8,96.0616
8192,296,24,8,98.5682
8192,296,32,8,100.5027
8192,296,40,8,100.9563
8192,296,48,8,89.5387
8192,296,56,8,78.0555
8192,296,64,8,85.3111
8192,296,72,8,81.9916
8192,296,80,8,84.5559
8192,296,88,8,87.9
8192,296,96,8,81.867
8192,296,104,8,87.7931
8192,296,112,8,84.1203
8192,296,120,8,84.3191
8192,296,128,8,87.6039
8192,296,136,8,84.5666
8192,296,144,8,84.2553
8192,296,152,8,85.3809
8192,296,160,8,88.9248
8192,296,168,8,86.291
8192,296,176,8,87.3836
8192,296,184,8,85.6688
8192,296,192,8,90.6439
8192,296,200,8,88.6114
8192,296,208,8,87.8164
8192,296,216,8,86.3692
8192,296,224,8,86.1645
8192,296,232,8,79.444
8192,296,240,8,81.6764
8192,296,248,8,81.0464
8192,296,256,8,77.7843
8192,296,264,8,79.8527
8192,296,272,8,77.7134
8192,296,280,8,77.1111
8192,296,288,8,75.3808
8192,304,8,8,82.0354
8192,304,16,8,90.1406
8192,304,24,8,93.3016
8192,304,32,8,97.0917
8192,304,40,8,99.2091
8192,304,48,8,88.1172
8192,304,56,8,78.8312
8192,304,64,8,83.0083
8192,304,72,8,82.2843
8192,304,80,8,85.4654
8192,304,88,8,86.8165
8192,304,96,8,85.7302
8192,304,104,8,87.3704
8192,304,112,8,86.3539
8192,304,120,8,85.5139
8192,304,128,8,85.0352
8192,304,136,8,88.6799
8192,304,144,8,82.7784
8192,304,152,8,86.4424
8192,304,160,8,91.0554
8192,304,168,8,90.5871
8192,304,176,8,87.7297
8192,304,184,8,87.5053
8192,304,192,8,91.5002
8192,304,200,8,90.3615
8192,304,208,8,89.2366
8192,304,216,8,87.9544
8192,304,224,8,88.2651
8192,304,232,8,84.0657
8192,304,240,8,83.4408
8192,304,248,8,82.981
8192,304,256,8,78.4486
8192,304,264,8,80.7671
8192,304,272,8,79.279
8192,304,280,8,79.2132
8192,304,288,8,76.5111
8192,304,296,8,75.8821
8192,312,8,8,75.9374
8192,312,16,8,84.0811
8192,312,24,8,91.055
8192,312,32,8,92.9118
8192,312,40,8,95.9233
8192,312,48,8,85.7644
8192,312,56,8,79.4687
8192,312,64,8,82.6295
8192,312,72,8,82.7069
8192,312,80,8,85.2408
8192,312,88,8,85.0836
8192,312,96,8,86.6548
8192,312,104,8,88.3253
8192,312,112,8,87.9947
8192,312,120,8,85.1968
8192,312,128,8,85.1942
8192,312,136,8,88.0495
8192,312,144,8,86.1717
8192,312,152,8,84.8035
8192,312,160,8,87.2416
8192,312,168,8,89.8807
8192,312,176,8,89.0532
8192,312,184,8,88.4138
8192,312,192,8,92.9648
8192,312,200,8,89.8388
8192,312,208,8,90.0095
8192,312,216,8,88.4369
8192,312,224,8,86.9175
8192,312,232,8,86.1467
8192,312,240,8,85.1392
8192,312,248,8,79.9484
8192,312,256,8,79.6534
8192,312,264,8,80.2505
8192,312,272,8,79.7553
8192,312,280,8,78.4951
8192,312,288,8,77.7611
8192,312,296,8,75.3758
8192,312,304,8,74.7115
8192,320,8,8,72.0238
8192,320,16,8,80.7647
8192,320,24,8,86.8414
8192,320,32,8,91.3694
8192,320,40,8,95.056
8192,320,48,8,85.2985
8192,320,56,8,79.2524
8192,320,64,8,81.4947
8192,320,72,8,83.4186
8192,320,80,8,85.9489
8192,320,88,8,84.4035
8192,320,96,8,87.2101
8192,320,104,8,84.6123
8192,320,112,8,88.9873
8192,320,120,8,83.9643
8192,320,128,8,85.7586
8192,320,136,8,85.6929
8192,320,144,8,85.9336
8192,320,152,8,85.7212
8192,320,160,8,87.0953
8192,320,168,8,86.1528
8192,320,176,8,89.6693
8192,320,184,8,87.053
8192,320,192,8,92.9703
8192,320,200,8,92.4965
8192,320,208,8,90.5864
8192,320,216,8,89.9694
8192,320,224,8,87.9929
8192,320,232,8,86.1973
8192,320,240,8,84.627
8192,320,248,8,83.9677
8192,320,256,8,80.6459
8192,320,264,8,81.3154
8192,320,272,8,79.9205
8192,320,280,8,80.3241
8192,320,288,8,79.1629
8192,320,296,8,77.3389
8192,320,304,8,75.4109
8192,320,312,8,74.9919
8192,328,8,8,64.7716
8192,328,16,8,72.3482
8192,328,24,8,79.621
8192,328,32,8,84.5364
8192,328,40,8,86.6526
8192,328,48,8,82.9613
8192,328,56,8,74.2659
8192,328,64,8,75.7145
8192,328,72,8,83.2285
8192,328,80,8,81.878
8192,328,88,8,84.061
8192,328,96,8,86.7073
8192,328,104,8,84.4662
8192,328,112,8,88.6894
8192,328,120,8,87.6672
8192,328,128,8,85.427
8192,328,136,8,84.4006
8192,328,144,8,86.2845
8192,328,152,8,84.687
8192,328,160,8,83.7129
8192,328,168,8,91.0157
8192,328,176,8,90.2156
8192,328,184,8,88.0114
8192,328,192,8,92.3593
8192,328,200,8,91.0604
8192,328,208,8,90.3185
8192,328,216,8,90.4115
8192,328,224,8,88.2921
8192,328,232,8,86.5261
8192,328,240,8,83.9411
8192,328,248,8,86.3059
8192,328,256,8,85.806
8192,328,264,8,76.3036
8192,328,272,8,79.6175
8192,328,280,8,78.1313
8192,328,288,8,78.215
8192,328,296,8,77.6728
8192,328,304,8,76.5417
8192,328,312,8,74.6726
8192,328,320,8,73.0817
8192,336,8,8,61.3502
8192,336,16,8,70.1104
8192,336,24,8,78.576
8192,336,32,8,83.3704
8192,336,40,8,86.0869
8192,336,48,8,80.1957
8192,336,56,8,77.7493
8192,336,64,8,78.307
8192,336,72,8,81.5003
8192,336,80,8,83.4721
8192,336,88,8,85.5481
8192,336,96,8,85.2256
8192,336,104,8,87.7034
8192,336,112,8,89.6488
8192,336,120,8,88.3405
8192,336,128,8,87.8578
8192,336,136,8,87.3798
8192,336,144,8,87.175
8192,336,152,8,86.2079
8192,336,160,8,84.7753
8192,336,168,8,86.8027
8192,336,176,8,85.315
8192,336,184,8,89.3724
8192,336,192,8,93.3198
8192,336,200,8,91.8983
8192,336,208,8,90.082
8192,336,216,8,91.099
8192,336,224,8,89.4158
8192,336,232,8,88.0284
8192,336,240,8,86.3123
8192,336,248,8,85.7024
8192,336,256,8,85.0086
8192,336,264,8,83.0828
8192,336,272,8,82.2866
8192,336,280,8,80.4881
8192,336,288,8,78.559
8192,336,296,8,78.0355
8192,336,304,8,76.6494
8192,336,312,8,76.3377
8192,336,320,8,74.3043
8192,336,328,8,72.2738
8192,344,8,8,54.979
8192,344,16,8,66.7924
8192,344,24,8,72.9276
8192,344,32,8,80.0466
8192,344,40,8,82.9438
8192,344,48,8,77.7354
8192,344,56,8,73.9948
8192,344,64,8,77.3175
8192,344,72,8,79.6102
8192,344,80,8,82.0267
8192,344,88,8,85.2378
8192,344,96,8,84.3688
8192,344,104,8,86.461
8192,344,112,8,85.0325
8192,344,120,8,88.7396
8192,344,128,8,87.3346
8192,344,136,8,87.0238
8192,344,144,8,87.4864
8192,344,152,8,87.8266
8192,344,160,8,86.4729
8192,344,168,8,85.7016
